# Every unique Lua C function name the engine registers.
# 1488 pairs, 1432 distinct names.
# A trailing [STUB] marks the noop stub at 0x006AEF90
# (function was stripped from the retail build).

name                                              address     notes
--------------------------------------------------------------------------------
0123456789ABCDEF                                  0x02118D74
Friday                                            0x02118D78
gcinfo                                            0x00860D60
GENERALIZEDTIME                                   0x02146B64
GENERALSTRING                                     0x02146014
getaddrinfo                                       0x009E2A20
GetAllBoundaryGuid                                0x005DCC10
GetAllCharacters                                  0x005DE290
GetAllGuidsByName                                 0x005D3340
GetAllLandingZones                                0x005D34B0
GetAllPlayers                                     0x005DDB80
GetAllTargetMarkerPos                             0x005DF2C0
GetAllWeapons                                     0x005BED50
GetAnyCharacter                                   0x005DE250
GetAssetRequestMax                                0x005E5350
GetAttachedObjects                                0x005D1510
GetAttrib                                         0x005A84C0
GetAudioDir                                       0x005E40E0
GetAvailableCostumes                              0x005DFAF0
GetAwakeObjects                                   0x005D46B0
getBeginIndex                                     0x007AA4D0
GetBoundaryRadius                                 0x005D7910
getBounds                                         0x00795070
getBytesLoaded                                    0x007943E0
getBytesLoaded                                    0x007AA4A0
getBytesLoaded                                    0x007D1A20
getBytesTotal                                     0x00794440
getBytesTotal                                     0x007AA4A0
getBytesTotal                                     0x007D1A80
GetCallstack                                      0x006AEF90  [STUB]
GetCamera                                         0x005DAFE0
GetCameraXZHeading                                0x005DAB40
getCaretIndex                                     0x007AA4D0
getCaretIndex                                     0x007B11C0
GetCash                                           0x005DF430
GetCashValue                                      0x005CC350
GetCategoryPitch                                  0x005E3CE0
GetCategoryVolume                                 0x005E3A70
GetCharacter                                      0x005DA860
GetCharacterTemplate                              0x005E5130
getCharBoundaries                                 0x007A7410
getCharIndexAtPoint                               0x007A76D0
GetClipAmmo                                       0x005EA590
GetColorValue                                     0x005B1290
GetControlBindingType                             0x005DD420
GetControlledObject                               0x005DAA10
GetCoopPlayerGuid                                 0x005F7770
GetCurrentLocalPlayers                            0x005DDFC0
GetCurrentPlayers                                 0x005DDA90
GetCurrentSetting                                 0x005B1080
getDate                                           0x007B8AE0
getDay                                            0x007B8C10
getDepth                                          0x0077DCB0
GetDistanceFrom                                   0x005CD3E0
GetDistantSpawnPointOnPath                        0x005D7E90
GetDriver                                         0x005E6FD0
getEndIndex                                       0x007AA4D0
getExactCharBoundaries                            0x007A7570
GetFactionGuid                                    0x005AB000
GetFeeling                                        0x005AAAE0
getfenv                                           0x008609B0
getFirstCharInParagraph                           0x007A7D80
GetFlashPlaySpeed                                 0x005BA920
getFocus                                          0x007AA4D0
getFocus                                          0x007B0FC0
GetForceNewGame                                   0x005E6780
GetFOV                                            0x005AF500
GetFromRider                                      0x005E7090
GetFromSeat                                       0x005E7090
GetFuel                                           0x005DF580
GetFuelCapacity                                   0x005DF6D0
getFullYear                                       0x007B8EC0
GetGuidByName                                     0x005D3210
GetHardpointPitch                                 0x005CFCA0
